Variant,TrialID,Distance,Movement Ratio,Fitness
0,2,-0.31853873236030805,0.251,-0.31853873236030805
0,4,-1.0297245574612603,0.8905,-1.0297245574612603
0,4,-1.0297245574612603,0.8905,-1.0297245574612603
0,4,-2.5791284777334607,0.9985,-2.5791284777334607
0,4,-2.5791284777334607,0.9985,-2.5791284777334607
0,0,-0.6969924706191932,0.607,-0.6969924706191932
0,0,-0.6969924706191932,0.607,-0.6969924706191932
0,3,-0.6429363314036675,0.8345,-0.6429363314036675
0,0,-0.9885744048221619,0.975,-0.9885744048221619
0,0,-1.9767197994251509,0.981,-1.9767197994251509
1,0,-1.9767197994251509,0.981,-1.9767197994251509
1,5,-0.6505086297912532,0.965,-0.6505086297912532
1,6,-0.7690332128993924,0.931,-0.7690332128993924
1,6,-0.7690332128993924,0.931,-0.7690332128993924
1,1,-0.5807361672925891,0.7595,-0.5807361672925891
4,6,-0.6752195988238463,0.863,-0.6752195988238463
4,6,-0.6752195988238463,0.863,-0.6752195988238463
4,0,-0.3247537109794694,0.8385,-0.3247537109794694
4,2,-1.131278492768722,0.877,-1.131278492768722
4,2,-1.131278492768722,0.877,-1.131278492768722
